  0   0                   73
  0   1                   50
  0   2                   94
  0   3                  121
  0   4                  190
  0   5                  258
  0   6                  375
  0   7                  539
  0   8                  672
  0   9                  884
  0  10                 1187
  0  11                 1482
  0  12                 2007
  0  13                 2379
  0  14                 2954
  0  15                 3650
  0  16                 4435
  0  17                 5288
  0  18                 6194
  0  19                 7143
  0  20                 8506
  0  21                 9871
  0  22                11662
  0  23                13112
  0  24                15422
  0  25                16982
  0  26                19222
  0  27                21351
  0  28                24252
  0  29                26687
  0  30                29634
  0  31                32489
  0  32                35349
  0  33                38253
  0  34                41806
  0  35                45008
  0  36                48747
  0  37                51943
  0  38                55376
  0  39                59238
  0  40                62682
  0  41                65623
  0  42                69541
  0  43                72433
  0  44                75925
  0  45                78577
  0  46                81890
  0  47                84622
  0  48                88939
  0  49                91054
  0  50                93929
  0  51                95701
  0  52                98717
  0  53               100156
  0  54               103451
  0  55               103922
  0  56               106405
  0  57               106701
  0  58               108394
  0  59               108624
  0  60               114119
  0  61               111686
  0  62               114136
  0  63               114070
  0  64               116510
  0  65               115279
  0  66               116563
  0  67               115000
  0  68               116619
  0  69               114784
  0  70               115348
  0  71               112988
  0  72               125093
  0  73               117649
  0  74               120603
  0  75               119736
  0  76               123739
  0  77               117115
  0  78               119350
  0  79               114030
  0  80               114988
  0  81               109642
  0  82               109292
  0  83               103372
  0  84               117907
  0  85               100900
  0  86               100553
  0  87                94166
  0  88                85040
  0  89                74521
  0  90                70871
  0  91                59360
  0  92                54523
  0  93                47421
  0  94                42071
  0  95                35134
  0  96                32083
  0  97                20854
  0  98                15838
  0  99                 9133
  0 100                 5934
  0 101                 2951
  0 102                 1927
  0 103                  829
  0 104                  446
  0 105                  141
  0 106                   77
  0 107                   16
  0 108                   10
  0 109                    0
  0 110                    0
  0 111                    0
  0 112                    0
  0 113                    0
  0 114                    0
  0 115                    0
  0 116                    0
  0 117                    0
  0 118                    0
  0 119                    0
  0 120                    0
  1   0                    0
  1   1                    5
  1   2                   15
  1   3                   34
  1   4                   56
  1   5                   70
  1   6                  121
  1   7                  167
  1   8                  227
  1   9                  345
  1  10                  467
  1  11                  614
  1  12                  882
  1  13                 1148
  1  14                 1420
  1  15                 1831
  1  16                 2359
  1  17                 2900
  1  18                 3628
  1  19                 4308
  1  20                 5302
  1  21                 6317
  1  22                 7356
  1  23                 8499
  1  24                10071
  1  25                11383
  1  26                13429
  1  27                15441
  1  28                17459
  1  29                19791
  1  30                22147
  1  31                24751
  1  32                27733
  1  33                30769
  1  34                33796
  1  35                36984
  1  36                39888
  1  37                43262
  1  38                47193
  1  39                50874
  1  40                54487
  1  41                57654
  1  42                61549
  1  43                64781
  1  44                69006
  1  45                71772
  1  46                75545
  1  47                78660
  1  48                82287
  1  49                84806
  1  50                88234
  1  51                90936
  1  52                94385
  1  53                96647
  1  54                99518
  1  55               101647
  1  56               103453
  1  57               105513
  1  58               107087
  1  59               108942
  1  60               109564
  1  61               111376
  1  62               113265
  1  63               114159
  1  64               115900
  1  65               116058
  1  66               117858
  1  67               117233
  1  68               119042
  1  69               117923
  1  70               117981
  1  71               117311
