  0   0                 6660
  0   1                 4316
  0   2                 6508
  0   3                 7880
  0   4                10428
  0   5                12099
  0   6                23881
  0   7                21250
  0   8                26526
  0   9                29846
  0  10                35706
  0  11                35984
  0  12                42995
  0  13                41990
  0  14                46317
  0  15                46769
  0  16                45398
  0  17                43136
  0  18                43966
  0  19                40059
  0  20                38820
  0  21                33448
  0  22                31022
  0  23                25963
  0  24                23841
  0  25                18767
  0  26                15694
  0  27                12817
  0  28                10016
  0  29                 7289
  0  30                 5743
  0  31                 3807
  0  32                 2612
  0  33                 1841
  0  34                  933
  0  35                  538
  0  36                  305
  0  37                   91
  0  38                   43
  0  39                   22
  0  40                    0
  0  41                    0
  0  42                    0
  0  43                    0
  0  44                    0
  0  45                    0
  0  46                    0
  0  47                    0
  0  48                    0
  0  49                    0
  0  50                    0
  0  51                    0
  0  52                    0
  0  53                    0
  0  54                    0
  0  55                    0
  0  56                    0
  0  57                    0
  0  58                    0
  0  59                    0
  0  60                    0
  1   0                    0
  1   1                 2351
  1   2                 4411
  1   3                 5405
  1   4                 7294
  1   5                 8299
  1   6                11071
  1   7                16525
  1   8                21013
  1   9                24227
  1  10                28949
  1  11                32369
  1  12                36881
  1  13                40377
  1  14                43083
  1  15                44992
  1  16                47629
  1  17                47324
  1  18                46229
  1  19                44709
  1  20                42701
  1  21                40410
  1  22                36593
  1  23                32452
  1  24                28506
  1  25                24862
  1  26                20728
  1  27                16611
  1  28                13561
  1  29                10789
  1  30                 8116
  1  31                 5888
  1  32                 4326
  1  33                 3001
  1  34                 1936
  1  35                 1130
  1  36                  588
  1  37                  327
  1  38                  121
  1  39                   41
  1  40                   18
  1  41                    0
  1  42                    0
  1  43                    0
  1  44                    0
  1  45                    0
  1  46                    0
  1  47                    0
  1  48                    0
  1  49                    0
  1  50                    0
  1  51                    0
  1  52                    0
  1  53                    0
  1  54                    0
  1  55                    0
  1  56                    0
  1  57                    0
  1  58                    0
  1  59                    0
  1  60                    0
  2   0                    0
  2   1                    0
  2   2                 2496
  2   3                 5144
  2   4                 9250
  2   5                11329
  2   6                15540
  2   7                17971
  2   8                28316
  2   9                35023
  2  10                45590
  2  11                51241
  2  12                62843
  2  13                67594
  2  14                77934
  2  15                82612
  2  16                91085
  2  17                93735
  2  18                97062
  2  19                94321
  2  20                92611
  2  21                89364
  2  22                85098
  2  23                77245
  2  24                70278
  2  25                61400
  2  26                54220
  2  27                44687
  2  28                36680
  2  29                29242
  2  30                23559
  2  31                17701
  2  32                13262
  2  33                 9140
  2  34                 6414
  2  35                 4358
  2  36                 2503
  2  37                 1318
  2  38                  722
  2  39                  261
  2  40                   99
  2  41                   50
  2  42                    0
  2  43                    0
  2  44                    0
  2  45                    0
  2  46                    0
  2  47                    0
  2  48                    0
  2  49                    0
  2  50                    0
  2  51                    0
  2  52                    0
  2  53                    0
  2  54                    0
  2  55                    0
  2  56                    0
  2  57                    0
  2  58                    0
  2  59                    0
  2  60                    0
  3   0                    0
  3   1                    0
  3   2                    0
  3   3                 1830
  3   4                 4591
  3   5                 9374
  3   6                21532
  3   7                22111
  3   8                30406
  3   9                40204
  3  10                55248
  3  11                67858
  3  12               109197
  3  13               110604
  3  14               133318
  3  15               150055
  3  16               168473
  3  17               180893
  3  18               209338
  3  19               208178
  3  20               221628
  3  21               209597
  3  22               209539
  3  23               199700
  3  24               192941
  3  25               172024
  3  26               156111
  3  27               135473
  3  28               118613
  3  29                94990
  3  30                80115
  3  31                60637
  3  32                47977
  3  33                35595
  3  34                25731
  3  35                17420
  3  36                12163
  3  37                 6647
  3  38                 3935
  3  39                 2383
  3  40                  811
  3  41                  327
  3  42                  176
  3  43                    0
  3  44                    0
